Latitude, Longitude, Data Value
84, 171, -1.79999
84, 172, -1.79999
84, 173, -1.79999
84, 174, -1.79999
84, 175, -1.79999
84, 176, -1.79999
84, 177, -1.79999
84, 178, -1.79999
84, 179, -1.79999
84, 180, -1.79999
84, -179, -1.79997
84, -178, -1.79999
84, -177, -1.79999
84, -176, -1.79999
84, -175, -1.79999
84, -174, -1.79999
84, -173, -1.79999
84, -172, -1.79999
84, -171, -1.79999
84, -170, -1.79999
84, -169, -1.79999
84, -168, -1.79999
84, -167, -1.79999
84, -166, -1.79999
84, -165, -1.79999
84, -164, -1.79999
84, -163, -1.79999
84, -162, -1.79999
84, -161, -1.79999
84, -160, -1.79999
84, -159, -1.79999
84, -158, -1.79999
84, -157, -1.79999
84, -156, -1.79999
84, -155, -1.79999
84, -154, -1.79999
84, -153, -1.79999
84, -152, -1.79999
84, -151, -1.79999
84, -150, -1.79999
84, -149, -1.79999
84, -148, -1.79999
84, -147, -1.79999
84, -146, -1.79999
84, -145, -1.79999
84, -144, -1.79999
84, -143, -1.79999
84, -142, -1.79999
84, -141, -1.79999
84, -140, -1.79999
84, -139, -1.79999
84, -138, -1.79999
84, -137, -1.79999
84, -136, -1.79999
84, -135, -1.79999
84, -134, -1.79999
84, -133, -1.79999
84, -132, -1.79999
84, -131, -1.79999
84, -130, -1.79999
84, -129, -1.79999
84, -128, -1.79999
84, -127, -1.79999
84, -126, -1.79999
84, -125, -1.79999
84, -124, -1.79999
84, -123, -1.79999
84, -122, -1.79999
84, -121, -1.79999
84, -120, -1.79999
84, -119, -1.79999
84, -118, -1.79999
84, -117, -1.79999
84, -116, -1.79999
84, -115, -1.79999
84, -114, -1.79999
84, -113, -1.79999
84, -112, -1.79999
84, -111, -1.79999
84, -110, -1.79999
84, -109, -1.79999
84, -108, -1.79999
84, -107, -1.79999
84, -106, -1.79999
84, -105, -1.79999
84, -104, -1.79999
84, -103, -1.79999
84, -102, -1.79999
84, -101, -1.79999
84, -100, -1.79999
84, -99, -1.79999
84, -98, -1.79999
84, -97, -1.79999
84, -96, -1.79999
84, -95, -1.79999
84, -94, -1.79999
84, -93, -1.79999
84, -92, -1.79999
84, -91, -1.79999
84, -90, -1.79999
84, -89, -1.79999
84, -88, -1.79999
84, -87, -1.79999
84, -86, -1.79999
84, -85, -1.79999
84, -84, -1.80005
84, -83, -1.80002
84, -82, -1.80002
84, -81, -1.80002
84, -80, -1.8001
84, -79, -1.80002
84, -78, -1.79997
84, -77, -1.79997
84, -76, -1.79999
84, -75, -1.79999
84, -74, -1.79999
84, -73, -1.79999
84, -72, -1.79999
84, -71, -1.79999
84, -70, -1.79999
84, -69, -1.79999
84, -68, -1.79999
84, -67, -1.79999
84, -66, -1.79999
84, -65, -1.79999
84, -64, -1.79997
84, -63, -1.79999
84, -62, -1.8001
84, -61, -1.79999
84, -60, -1.80002
84, -59, -1.8001
84, -58, -1.79991
84, -57, -1.79969
84, -56, -1.79904
84, -55, -1.79753
84, -54, -1.7958
84, -53, -1.7955
84, -52, -1.7969
84, -51, -1.79824
84, -50, -1.79827
84, -49, -1.79619
84, -48, -1.79219
84, -47, -1.78914
84, -46, -1.78956
84, -45, -1.79287
84, -44, -1.79624
84, -43, -1.7981
84, -42, -1.79854
84, -41, -1.79843
84, -40, -1.79767
84, -39, -1.79723
84, -38, -1.79712
84, -37, -1.79802
84, -36, -1.79879
84, -35, -1.79904
84, -34, -1.79876
84, -33, -1.79676
84, -32, -1.79161
84, -31, -1.78284
84, -30, -1.77309
84, -29, -1.76822
84, -28, -1.76649
84, -27, -1.76876
84, -26, -1.76769
84, -25, -1.7729
84, -24, -1.77649
84, -23, -1.78306
84, -22, -1.78915
84, -21, -1.79317
84, -20, -1.79643
84, -19, -1.80178
84, -18, -1.79884
84, -17, -1.7986
84, -16, -1.79879
84, -15, -1.79983
84, -14, -1.79958
84, -13, -1.79969
84, -12, -1.80002
84, -11, -1.79953
84, -10, -1.79939
84, -9, -1.79838
84, -8, -1.79701
84, -7, -1.79627
84, -6, -1.79684
84, -5, -1.79808
84, -4, -1.7992
84, -3, -1.79986
84, -2, -1.79988
84, -1, -1.79945
84, 0, -1.79728
84, 1, -1.79208
84, 2, -1.78098
84, 3, -1.76438
84, 4, -1.74937
84, 5, -1.74372
84, 6, -1.74668
84, 7, -1.75531
84, 8, -1.76854
84, 9, -1.78161
84, 10, -1.79112
84, 11, -1.79679
84, 12, -1.79931
84, 13, -1.79928
84, 14, -1.79654
84, 15, -1.78764
84, 16, -1.76811
84, 17, -1.73767
84, 18, -1.7009
84, 19, -1.67783
83, 20, -1.68077
83, 21, -1.68455
83, 22, -1.70518
83, 23, -1.71556
83, 24, -1.7097
83, 25, -1.68893
83, 26, -1.67989
83, 27, -1.656
83, 28, -1.62115
83, 29, -1.57584
83, 30, -1.53858
83, 31, -1.52882
83, 32, -1.50608
83, 33, -1.4972
83, 34, -1.49479
83, 35, -1.47184
83, 36, -1.4612
83, 37, -1.44384
83, 38, -1.41142
83, 39, -1.36981
83, 40, -1.32044
83, 41, -1.31046
83, 42, -1.30373
83, 43, -1.3126
83, 44, -1.30964
83, 45, -1.3183
83, 46, -1.30753
83, 47, -1.28756
83, 48, -1.2917
83, 49, -1.3023
83, 50, -1.31496
83, 51, -1.3311
83, 52, -1.33337
83, 53, -1.34485
83, 54, -1.36342
83, 55, -1.40548
83, 56, -1.41545
83, 57, -1.42592
83, 58, -1.43455
83, 59, -1.4323
83, 60, -1.44027
83, 61, -1.45849
83, 62, -1.50112
83, 63, -1.53531
83, 64, -1.56257
83, 65, -1.5929
83, 66, -1.59772
83, 67, -1.59981
83, 68, -1.58778
83, 69, -1.58474
83, 70, -1.58729
83, 71, -1.57879
83, 72, -1.58167
83, 73, -1.59526
83, 74, -1.60255
83, 75, -1.5986
83, 76, -1.60446
83, 77, -1.61293
83, 78, -1.62742
83, 79, -1.65364
83, 80, -1.67279
83, 81, -1.68548
83, 82, -1.68479
83, 83, -1.68391
83, 84, -1.68364
83, 85, -1.6869
83, 86, -1.69917
83, 87, -1.72457
83, 88, -1.73964
83, 89, -1.74301
83, 90, -1.74931
83, 91, -1.75397
83, 92, -1.75849
83, 93, -1.7632
83, 94, -1.76833
83, 95, -1.77405
83, 96, -1.77854
83, 97, -1.78109
83, 98, -1.75243
83, 99, -1.74578
83, 100, -1.75682
83, 101, -1.75312
83, 102, -1.77063
83, 103, -1.77821
83, 104, -1.78849
83, 105, -1.79274
83, 106, -1.79619
83, 107, -1.79671
83, 108, -1.79868
83, 109, -1.79802
83, 110, -1.79997
83, 111, -1.79986
83, 112, -1.79994
83, 113, -1.79999
83, 114, -1.79999
83, 115, -1.80002
