Latitude, Longitude, Data Value
83, -116, -999
83, -115, -999
83, -114, -999
83, -113, -999
83, -112, -999
83, -111, -999
83, -110, -999
83, -109, -999
83, -108, -999
83, -107, -999
83, -106, -999
83, -105, -999
83, -104, -999
83, -103, -999
83, -102, -999
83, -101, -999
83, -100, -999
83, -99, -999
83, -98, -999
83, -97, -999
83, -96, -999
83, -95, -999
83, -94, -999
83, -93, -999
83, -92, -999
83, -91, -999
83, -90, -999
83, -89, -999
83, -88, -999
83, -87, -999
83, -86, -999
83, -85, -999
83, -84, -999
83, -83, -999
83, -82, -999
83, -81, -999
83, -80, -999
83, -79, -999
83, -78, -999
83, -77, -999
83, -76, -999
83, -75, -999
83, -74, -999
83, -73, -999
83, -72, -999
83, -71, -999
83, -70, -999
83, -69, -999
83, -68, -999
83, -67, -999
83, -66, -999
83, -65, -999
83, -64, -999
83, -63, -999
83, -62, -999
83, -61, -999
83, -60, -999
83, -59, -999
83, -58, -999
83, -57, -999
83, -56, -999
83, -55, -999
83, -54, -999
83, -53, -999
83, -52, -999
83, -51, -999
83, -50, -999
83, -49, -999
83, -48, -999
83, -47, -999
83, -46, 0.216009
83, -45, -999
83, -44, -999
83, -43, -999
83, -42, -999
83, -41, -999
83, -40, -999
83, -39, -999
83, -38, 0.452264
83, -37, 0.594182
83, -36, -999
83, -35, -999
83, -34, -999
83, -33, -999
83, -32, 0.593279
83, -31, 0.26656
83, -30, -999
83, -29, -999
83, -28, -999
83, -27, -999
83, -26, -999
83, -25, -999
83, -24, -999
83, -23, -999
83, -22, -999
83, -21, -999
83, -20, -999
83, -19, -999
83, -18, -999
83, -17, -999
83, -16, -999
83, -15, -999
83, -14, -999
83, -13, -999
83, -12, -999
83, -11, -999
83, -10, -999
83, -9, -999
83, -8, -999
83, -7, -999
83, -6, -999
83, -5, -999
83, -4, -999
83, -3, -999
83, -2, -999
83, -1, -999
83, 0, -999
83, 1, -999
83, 2, -999
83, 3, -999
83, 4, -999
83, 5, -999
83, 6, -999
83, 7, -999
83, 8, -999
83, 9, -999
83, 10, -999
83, 11, -999
83, 12, -999
83, 13, -999
83, 14, -999
83, 15, -999
83, 16, -999
83, 17, -999
83, 18, -999
83, 19, -999
82, 20, -999
82, 21, -999
82, 22, -999
82, 23, -999
82, 24, -999
82, 25, -999
82, 26, -999
82, 27, -999
82, 28, -999
82, 29, -999
82, 30, -999
82, 31, -999
82, 32, -999
82, 33, -999
82, 34, -999
82, 35, -999
82, 36, -999
82, 37, -999
82, 38, -999
82, 39, -999
82, 40, -999
82, 41, -999
82, 42, -999
82, 43, -999
82, 44, -999
82, 45, -999
82, 46, -999
82, 47, -999
82, 48, -999
82, 49, -999
82, 50, -999
82, 51, -999
82, 52, -999
82, 53, -999
82, 54, -999
82, 55, -999
82, 56, -999
82, 57, -999
82, 58, -999
82, 59, -999
82, 60, -999
82, 61, -999
82, 62, -999
82, 63, -999
82, 64, -999
82, 65, -999
82, 66, -999
82, 67, -999
82, 68, -999
82, 69, -999
82, 70, -999
82, 71, -999
82, 72, -999
